model,feature_set,seed,rmse,mae,mape,r2,training_time,inference_time,mean_error,residual_std,n_test_samples,mape_valid_samples,dropped_rows,prediction_file,metadata_file
LGBM,F0,168,523.747124,339.520157,1.069726,0.993814,2.459991,0.073604,17.138097,523.519955,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F0_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F0_seed168.json
LGBM,F1,42,463.096291,288.698241,0.893729,0.995164,2.503430,0.064070,29.055960,462.230929,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F1_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F1_seed42.json
LGBM,F1,84,463.096291,288.698241,0.893729,0.995164,2.292655,0.067367,29.055960,462.230929,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F1_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F1_seed84.json
LGBM,F1,168,463.096291,288.698241,0.893729,0.995164,2.489208,0.066946,29.055960,462.230929,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F1_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F1_seed168.json
LGBM,F2,42,470.901242,289.165217,0.889945,0.994999,2.534292,0.064616,32.371019,469.835126,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F2_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F2_seed42.json
LGBM,F2,84,470.901242,289.165217,0.889945,0.994999,2.861241,0.093339,32.371019,469.835126,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F2_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F2_seed84.json
LGBM,F2,168,470.901242,289.165217,0.889945,0.994999,2.821281,0.080948,32.371019,469.835126,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F2_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F2_seed168.json
LGBM,F3,42,490.672043,288.923411,0.885116,0.994571,3.206220,0.084787,40.566919,489.042000,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F3_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F3_seed42.json
LGBM,F3,84,490.672043,288.923411,0.885116,0.994571,3.229360,0.096883,40.566919,489.042000,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F3_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F3_seed84.json
LGBM,F3,168,490.672043,288.923411,0.885116,0.994571,3.091986,0.078074,40.566919,489.042000,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F3_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F3_seed168.json
LGBM,F4,42,520.307638,296.810280,0.902958,0.993895,3.592977,0.086275,56.012512,517.336577,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F4_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F4_seed42.json
LGBM,F4,84,520.307638,296.810280,0.902958,0.993895,3.431341,0.077901,56.012512,517.336577,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F4_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F4_seed84.json
LGBM,F4,168,520.307638,296.810280,0.902958,0.993895,4.096507,0.087044,56.012512,517.336577,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F4_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F4_seed168.json
LSTM,F0,42,2888.729646,2193.803856,6.987439,0.811816,535.489094,2.207688,573.317572,2831.554084,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F0_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F0_seed42.json
LSTM,F0,84,2956.929999,2277.476451,7.301731,0.802826,440.969978,2.085760,539.580230,2907.577967,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F0_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F0_seed84.json
LSTM,F0,168,2949.719729,2278.543920,7.341758,0.803786,911.235032,2.046919,517.173112,2904.323682,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F0_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F0_seed168.json
LSTM,F1,42,471.286433,360.118549,1.227966,0.994991,446.716793,1.041695,-135.128708,451.544739,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F1_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F1_seed42.json
LSTM,F1,84,418.110350,311.891471,1.031532,0.996058,387.336027,1.067556,-55.248322,414.486272,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F1_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F1_seed84.json
LSTM,F1,168,387.444189,282.277414,0.928619,0.996615,405.653772,1.055957,32.827726,386.090266,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F1_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F1_seed168.json
LSTM,F2,42,337.865006,251.516855,0.820871,0.997426,1038.945807,1.528733,19.593271,337.330753,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F2_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F2_seed42.json
LSTM,F2,84,352.858108,261.313937,0.855867,0.997192,1017.928408,1.482140,-2.237862,352.886941,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F2_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F2_seed84.json
LSTM,F2,168,333.944318,249.296397,0.827185,0.997485,1022.590947,1.486829,-32.359104,332.406672,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F2_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F2_seed168.json
LSTM,F3,42,351.710599,258.275307,0.835086,0.997210,1026.936316,1.511934,47.932463,348.464560,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F3_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F3_seed42.json
LSTM,F3,84,395.021067,286.521468,0.909146,0.996481,1046.454523,1.490595,74.473611,387.976772,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F3_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F3_seed84.json
LSTM,F3,168,326.184994,242.735023,0.796932,0.997601,1030.966584,1.489390,-18.882274,325.671164,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F3_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F3_seed168.json
LSTM,F4,42,461.864644,334.988865,1.078744,0.995189,1345.036557,2.452942,84.818381,454.055913,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F4_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F4_seed42.json
LSTM,F4,84,398.361644,292.142869,0.929975,0.996421,1968.322537,2.405233,74.724572,391.330322,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F4_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F4_seed84.json
LSTM,F4,168,336.244556,248.341900,0.821584,0.997450,2338.731732,2.399662,-35.393493,334.410636,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LSTM_F4_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LSTM_F4_seed168.json
