run_name,model,feature_set,seed,rmse,mae,mape_percent,smape_percent,r2,training_seconds,inference_seconds,inference_ms_per_sample,test_rows
RF_F1_seed42,RF,F1,42,475.93718782753564,321.0314369719025,1.0106804030082062,1.010503736746758,0.994891807401726,46.70003299997188,0.34051010000985116,0.06933620444102039,4911
RF_F1_seed84,RF,F1,84,475.7171875093041,321.342922475591,1.011602717658583,1.0114625967142301,0.9948965287989552,47.34123060002457,0.2722442999947816,0.055435613926854324,4911
RF_F1_seed168,RF,F1,168,475.9980471740975,321.21527728573716,1.0117174032777139,1.0115500332294873,0.9948905009220131,45.40435020002769,0.26551509997807443,0.054065383827748816,4911
RF_F2_seed42,RF,F2,42,460.33109168700634,310.8579554599712,0.9771563676856183,0.977207528851503,0.9952213128280908,48.47815449995687,0.262245999998413,0.053399714925353906,4911
RF_F2_seed84,RF,F2,84,459.96826961021895,310.09968264966625,0.9745516881728422,0.9745846826955875,0.9952288427558321,49.498288100003265,0.3175905999960378,0.0646692323347664,4911
RF_F2_seed168,RF,F2,168,460.48005450159997,310.3879541964584,0.9749106257366642,0.9749749861313137,0.9952182195681282,55.323592000000644,0.3913491999846883,0.07968829158718964,4911
RF_F3_seed42,RF,F3,42,462.635046900871,312.0158770749693,0.9811358168639147,0.9812274747951546,0.9951733585029126,52.25287919997936,0.3232693999889307,0.06582557523700483,4911
RF_F3_seed84,RF,F3,84,462.07581563790797,312.39036483898025,0.9826950767786224,0.9827409491614449,0.9951850202974192,53.016648999997415,0.24802239995915443,0.050503441246009854,4911
RF_F3_seed168,RF,F3,168,463.6146808336571,312.627885790827,0.9824751925214587,0.9826122266904982,0.9951528959461863,55.44226189999608,0.3952762000262737,0.08048792507152794,4911
RF_F4_seed42,RF,F4,42,465.8053614010137,314.381007494582,0.9888440928233284,0.9889970882788673,0.9951069804721453,67.77916419995017,0.3488599000265822,0.07103642843139528,4911
RF_F4_seed84,RF,F4,84,467.47716460195977,314.53144397786525,0.9883215414242432,0.9884922114095777,0.995071794766101,67.9548696000129,0.38219769997522235,0.07782482182350282,4911
RF_F4_seed168,RF,F4,168,469.11186878546437,315.2631262111782,0.9901215507248216,0.990317324109329,0.9950372679743384,65.4675455999677,0.3639042000286281,0.07409981674376463,4911
XGB_F0_seed42,XGB,F0,42,512.3596755027336,346.60732085815005,1.0966551734268324,1.0972802321032382,0.9940800523404011,2.1063558000023477,0.02159149997169152,0.004396558739908678,4911
XGB_F0_seed84,XGB,F0,84,500.722116965544,334.6498704279933,1.05838915753896,1.0588819651736108,0.9943459254235093,1.9105683999950998,0.013735699991229922,0.002796925268016681,4911
XGB_F0_seed168,XGB,F0,168,527.317705864439,357.4007179355019,1.1337146676891179,1.1341031656530391,0.9937293481223276,1.984925500000827,0.013341400015633553,0.0027166361261725825,4911
XGB_F1_seed42,XGB,F1,42,459.47972087386415,293.8628489456068,0.9117456159061976,0.9125694378981684,0.995238972606553,1.9594453000463545,0.012825499987229705,0.0026115862323823464,4911
XGB_F1_seed84,XGB,F1,84,468.023591675827,300.51930455864385,0.932725601246993,0.9336898666558316,0.9950602670217854,2.229088900028728,0.012604699993971735,0.0025666259405358856,4911
XGB_F1_seed168,XGB,F1,168,451.6470989239787,284.84500594965385,0.8805941588719453,0.8816240784536321,0.9953999088942004,1.9296639000531286,0.01314309996087104,0.0026762573734211035,4911
XGB_F2_seed42,XGB,F2,42,461.13446544985914,287.74661991256875,0.8875693637476527,0.8887727472410735,0.9952046186618493,2.006195200025104,0.01281719998223707,0.0026098961478796725,4911
XGB_F2_seed84,XGB,F2,84,456.55779199824104,292.04230259557625,0.907418845628011,0.908224798433269,0.9952993328360542,1.9211235999828205,0.014076199964620173,0.0028662594104296828,4911
XGB_F2_seed168,XGB,F2,168,482.0654895690192,305.5958653882865,0.9451311909306925,0.946243592274068,0.9947594114070869,1.9507173000019975,0.013584200001787394,0.0027660761559330877,4911
XGB_F3_seed42,XGB,F3,42,464.37140057926496,286.3866073928426,0.8818143461920889,0.8831541640854614,0.9951370599819598,2.026368399965577,0.016064000024925917,0.0032710242363929785,4911
XGB_F3_seed84,XGB,F3,84,491.684284786947,305.58694647538687,0.9409438096046012,0.9426543856609685,0.9945481909238024,2.0514052999787964,0.014019499998539686,0.002854713907257114,4911
XGB_F3_seed168,XGB,F3,168,500.02026306107274,307.46821190630726,0.9456408653848694,0.9473177220071725,0.9943617647603752,1.9703537999885157,0.013080100005026907,0.0026634290378796392,4911
XGB_F4_seed42,XGB,F4,42,514.0052410115543,314.96185023098656,0.9661543359581215,0.9683495704030478,0.9940419646220027,2.399532800016459,0.021976899995934218,0.004475035633462476,4911
XGB_F4_seed84,XGB,F4,84,499.4978467870538,303.55646603288534,0.9301319329166342,0.9322251942614488,0.9943735401516767,2.6004536999971606,0.02106229995843023,0.004288800643133828,4911
XGB_F4_seed168,XGB,F4,168,504.3551067839416,307.84231587889434,0.9437177505636425,0.9457649746563989,0.9942635814926061,2.8361069000093266,0.014238899981137365,0.0028993891226099296,4911
